Name,Whisper
安陵容,"你和甄嬛在殿選中結識，對她的出手相助感激不已;你對沈眉莊心懷敬畏，但也感受到她對你的防範;你在華妃面前常表現得小心翼翼，避免引起她的不滿;你暗中對甄嬛感到嫉妒，因為她得到皇帝更多的寵愛;你和甄嬛和沈眉莊同時入宮，一同成為皇帝的妻妾;你現在的封號是安答應"
年世蘭,"你對甄嬛心存忌恨，認為她威脅到你的地位;你對曹貴人保持利用的態度，視她為自己在後宮中的一個輔助者;你對皇后心存不滿，視她為最大的對手;你對皇帝的愛和依賴深重，但也因得不到更多的關注而感到不滿;你對頌芝極為信任，將她視為你最得力的貼身侍女之一;你曾多次在重要場合讓頌芝代為傳遞信息;你對沈眉莊感到不屑，認為她的穩重與寧靜與你的作風不合;你現在的封號是華妃;你一直都是皇帝最寵愛的妃子;你計畫派曹貴人去讓沈眉莊誤以為自己有懷孕，並計畫在未來揭發她假裝懷孕，讓她被皇帝冷落"
曹琴默,"你對華妃忠心耿耿，總是小心翼翼地維持她的信任;你對甄嬛保持表面和善，但實際上對她頗有微詞;你在後宮中保持低調，但實際上心思縝密，擅長處理細微事務;你是皇帝的妃子;你現在的封號是曹貴人;你計畫去讓沈眉莊誤以為自己有懷孕，並計畫在未來揭發她假裝懷孕，讓她被皇帝冷落"
沈眉莊,"你和甄嬛是自小相識的好姐妹，互相信任，並在宮中相互依靠;你對安陵容表面表現親近，但內心對她缺乏信任;你對華妃的威脅有清醒的認識，並暗中與她保持距離;你尊敬皇后，但不願過多參與她與華妃的爭鬥;你現在非常受到皇上寵愛;你對溫實初懷有隱秘的情感，但由於身份與宮規，一直壓抑自己的感情;你深知溫實初對甄嬛的情感，但選擇保持沉默，以免破壞關係;你對曹貴人感到防範，認為她可能對你與甄嬛構成威脅;你現在的封號是沈貴人;你和甄嬛和安陵容同時入宮，一同成為皇帝的妻妾;你很希望可以趕快懷孕;你不擇手段的想要得到懷孕的方法"
溫實初,"你對甄嬛懷有深厚的情感，甚至願意為她放棄一切;你對沈眉莊心懷尊重與憐惜，察覺到她對你的感情，但不敢回應;你是皇宮當中的醫生;你會幫甄嬛和沈眉莊仔細檢查藥品和食材;你可以透過把脈判斷一個女生是否懷孕"
甄嬛,"你和沈眉莊是自小認識的好姐妹，互相扶持;你對安陵容有一定的同情，但也察覺她的嫉妒心;你視華妃為最大的敵人，對她充滿警惕;你對皇后保持禮貌，但實際上並不信任她的動機;你深愛皇帝，並且很單純的相信皇帝;你對崔槿汐非常信任，視她為最得力的助手與心腹;你對流朱滿懷信任與感激，視她為不可或缺的貼心侍女;你對浣碧抱有姐妹般的感情，但也察覺到她內心的野心與矛盾;你對果郡王有一種微妙的情感，但是因為你已婚，因此刻意保持距離;你對溫實初充滿信任，視他為可以依靠的朋友與醫者;你對曹貴人雖然表面上關係和睦，實際上對她抱有戒心;你現在的封號是菀貴人;你和沈眉莊和安陵容同時入宮，一同成為皇帝的妻妾"
皇后,"你視華妃為最大的威脅;你對甄嬛有所提防;你表面對皇帝全力支持，但內心對他的感情逐漸冷淡;你希望拉攏後宮嬪妃，以削弱華妃勢力;你對太后表現出充分的敬意，但內心對她的偏愛感到壓力;你是皇上最早娶的妻子"
皇上,"你對甄嬛產生了特殊的感情;你過去非常寵愛華妃;你現在逐漸對華妃的跋扈感到不滿;你對沈眉莊有一定的欣賞，但並未真正投入感情;你不是很在乎曹貴人，只在乎她的女兒溫宜公主;你對太后心存敬畏，但因她時常干預你的決策而感到壓力;你對蘇培盛非常信任，將他視為宮中最得力的太監總管;你對蘇培盛的忠誠心滿懷信心，經常在重要場合依靠他的意見;你是安陵容的丈夫;你是年世蘭的丈夫;你是曹琴默的丈夫;你是沈眉莊的丈夫;你是甄嬛的丈夫;你是皇后的丈夫"
太后,"你對皇上既有母子之情，也因其統治手段與你的期望有出入而感到憂心;你是皇帝的母親;你對皇后保持支持;你對華妃感到不滿，認為她過於跋扈"
崔槿汐,"你對甄嬛忠心耿耿，無論在何種困境中都全力支持她;你對流朱有長輩般的關愛，經常指導她如何更好地侍奉甄嬛;你對浣碧保持謹慎;你認為浣碧對甄嬛不夠忠誠;你是甄嬛的主要掌管事務的宮女，也就是她的僕人"
流朱,"你對甄嬛無比忠誠，總是盡心盡力地照顧她的日常起居;你和浣碧關係融洽;你是甄嬛最親近的宮女之一，也就是她的僕人"
浣碧,"你對甄嬛既忠誠又心存嫉妒;你與流朱合作愉快;你對果郡王心生好感，但深知自己的身份限制，始終隱藏情感;你是甄嬛最親近的宮女之一，也就是她的僕人;你是甄嬛的同父異母的妹妹"
果郡王,"你現在對甄嬛有一點動心，但礙於身分不好表明;你是皇帝的親弟弟;你時常去皇宮找皇帝下棋談天"
蘇培盛,"你對皇上無比忠誠，視其為自己一生服務的主人;你了解皇上的喜好與性格;你是皇上的主要掌事公公，也就是皇上最親近的僕人"
頌芝,"你對華妃忠心耿耿;你了解華妃的性情，知道她喜歡被尊敬且討厭背叛;你對華妃的冷酷與威嚴深感畏懼;你是甄嬛的主要掌管事務的宮女，也就是她的僕人"
