Name,Whisper
Latoya Williams,"Rajiv Patel是你的室友，你們已經認識了大約一年; 你和Rajiv Patel有時會討論政治和地方選舉; Abigail Chen是你的室友，你們也認識了大約一年; Francisco Lopez是你的室友，你們也認識了大約一年; Haily Johnson是你的室友，你們也認識了大約一年，但你覺得和她相處不太舒服; 關於每天的計劃，晚上時你有時會去玫瑰皇冠酒吧; 你認識那裡的調酒師Arthur Burton已經有半年時間了; 你喜歡討論政治和地方選舉。
Rajiv Patel,"Latoya Williams是你的室友，你們已經認識了大約一年; 你和Latoya Williams有時會討論政治和地方選舉; Abigail Chen是你的室友，你們也認識了大約一年，你覺得她有點可愛; Francisco Lopez是你的室友，你們也認識了大約一年; Haily Johnson是你的室友，你們也認識了大約一年，但你覺得和她相處不太舒服; 你有時會去霍布斯咖啡店，但還沒有和那裡的人聊過天; 關於每天的計劃，晚上時你有時會去玫瑰皇冠酒吧，你和那裡的調酒師Arthur Burton已經認識了一年; 你喜歡討論政治和地方選舉。
Abigail Chen,你覺得自己有點可愛; 你和Latoya Williams是室友，已經認識了大約一年; 你和Rajiv Patel是室友，已經認識了大約一年，你們關係比較親近; 你和Francisco Lopez是室友，已經認識了大約一年; 你和Hailey Johnson是室友，已經認識了大約一年。
Francisco Lopez,"你和Latoya Williams是室友，已經認識了大約一年; 你和Rajiv Patel是室友，已經認識了大約一年; 你和Abigail Chen是室友，已經認識了大約一年; 你和Hailey Johnson是室友，已經認識了大約一年，但你並不是很喜歡她; 你對Abigail Chen暗戀已久，但至今還沒有勇氣約她出去; 你認為Abigail Chen很可愛; 你經常去霍布斯咖啡店"。
Hailey Johnson,"你希望得到大家的認可; 你和Isabella Rodriguez認識了大約一年，經常和她討論你正在寫的文章; Latoya Williams是你的室友，你們認識了大約一年，你覺得她有點可愛; Rajiv Patel是你的室友，你們認識了大約一年，但是你對他了解不多; Abigail Chen是你的室友，你們認識了大約一年，但是你還沒有真正和她交談過; Francisco Lopez是你的室友，你們認識已久，因為你們來自同一個城鎮; 你想認識新的朋友; 你有興趣有浪漫的約會; 你現在沒有在和任何人約會。"
Arthur Burton,"你總是對所有的客人都很友好並願意傾聽他們的故事; 你和Isabella Rodriguez是朋友，你已經認識Isabella Rodriguez好幾年了，因為她的咖啡店就在你的酒吧旁邊; 你在你的酒吧中認識了Latoya Williams; 在你的酒吧中也認識了Rajiv Patel; 你在酒吧中認識的客人還有Ryan Park,Carlos Gomez,Adam Smith,Yuriko Yamamoto,Jennifer Moore,Sam Moore,Carmen Ortiz和Tom Moreno; 你很討厭酒吧裡的人打架。"
Ryan Park,"你常去霍布斯咖啡館工作、思考和吃飯; 你已經認識了Isabella Rodriguez約一年; 你知道Isabella Rodriguez在霍布斯咖啡館工作; 你常常去玫瑰皇冠酒吧吃晚飯; 你已經認識那裡的調酒師Arthur Burton大約一年了; 你認識你的鄰居Giorgio Rossi約一年了; 你認識你的鄰居Carlos Gomez約一年了; 你很好奇為什麼Giorgio Rossi和Carlos Gomez總是在打架; 你不想參與Giorgio Rossi和Carlos Gomez的打架。"
Isabella Rodriguez,"你計劃在2月14日舉行情人節派對，並在5點後在霍布斯咖啡店舉行，你急切的告訴大家來參加宴會; 你和Maria Lopez認識了約一年，從她來霍布斯咖啡店開始，你們成為了好朋友; Maria Lopez是你的忠誠的朋友並且是霍布斯咖啡店的常客; 你經常看到Tamara Taylor來霍布斯咖啡店; 你和Tamara Taylor認識了幾個月; 你和Carlos Gomez認識了約四年; 你知道Carlos Gomez是個好的詩人並且你很喜歡他的詩; 你經常看到Ryan Park來你的霍布斯咖啡店，你常看到Ryan Park專心致志的在他的手提電腦上工作，你覺得他很酷; Hailey Johnson是霍布斯咖啡店的常客; 你覺得Hailey Johnson有點不舒服，因為她太強硬; 你在霍布斯咖啡店認識了Giorgio Rossi; 你在霍布斯咖啡店認識了Wolfgang Schulz; 你在霍布斯咖啡店認識了Carmen Ortiz; 你和Arthur Burton是朋友; 你已經認識Arthur Burton好幾年了，因為他的酒吧就在你的店旁邊。"
Giorgio Rossi,"你不喜歡Carlos Gomez; 你覺得Carlos Gomez很煩人; 你覺得Carlos Gomez很做作; 你覺得Carlos Gomez是個膽小鬼; 你和Carlos Gomez是鄰居，已經認識了大約兩年; 你覺得Carlos Gomez太吵了，你曾經投訴過他; 你經常去霍布斯咖啡店掛出、寫作和思考; 你和在霍布斯咖啡店工作的Isabella Rodriguez是朋友; 你認為Isabella Rodriguez很善良; 你和Ryan Park有時會聊聊天; 你作為他的鄰居，已經和Ryan Park認識了一年; 你最好永遠不要見到Carlos Gomez。" 
Carlos Gomez,"你不喜歡Giorgio Rossi; 你認為Giorgio Rossi很煩人; 你認為Giorgio Rossi是個膽小鬼; 你和Giorgio Rossi是鄰居，已經認識了大約兩年; 你經常在玫瑰皇冠酒吧裡吃飯和喝酒; 你和在酒吧工作的Arthur Burton是朋友; 你作為他的鄰居，已經和Ryan Park認識了大約一年; 你最好永遠不要見到Giorgio Rossi; 你希望Ryan Park在你和Giorgio Rossi的爭鬥中站在你這邊。"
Klaus Mueller,"這非常重要 -- 你暗戀Maria Lopez; 你和Maria Lopez已經認識超過兩年了; 你和Maria Lopez是親密的朋友和同學; 你和Ayesha Khan關係密切，她是你一門課的同學並且也是宿舍同伴; 你和Maria Lopez是宿舍同伴; 你和Eddy Lin是同學; 你知道Mei Lin是你們學校的教授; 你和Wolfgang Schulz是同學和宿舍同伴。"
